key,value
"REQUEST NO.: ",""
"NAME OF THE FIRST ACCOUNT HOLDER (Mr./Ms): ","V I S H A L K U M A R S A W "
"ACCOUNT NO. : ","1 2 3 1 2 3 "
"(DD) ","1 1 "
"(MM) ","1 1 "
"CUSTOMER STATUS: ","J Minor If Yes, "
"Indian Resident ","SELECTED"
"Non Resident Indian ","NOT_SELECTED"
"Foreign Resident ","NOT_SELECTED"
"OCCUPATION: ","IT Professional "
"MOTHER'S MAIDEN NAME: ",""
"1. ",""
"Name: ",""
"2. ",""
"City: ","DHANBAD "
"State: ","JHARKHAND "
"Name: ",""
"Pin Code: ","826001 "
"3. ",""
"Name: ",""
"Fax No.: ",""
"4. ",""
"STD code ","NOT_SELECTED"
"Name: ",""
"STD code ",""
"Email address: ","abc@abc.com "
"Mobile:+91 ","9 0 7 3 3 5 2 0 0 1 "
"Place: ",""
"DATE: ","/ / "
"User profile changed on ","/ / "
"Signature No: ",""
"Br. SOL Id No.: ",""
"Region: ",""
